N_diagnostic_tests_0.025,N_diagnostic_tests_0.25,N_diagnostic_tests_0.75,N_diagnostic_tests_0.975,N_diagnostic_tests_mean,N_diagnostic_tests_median,N_diagnostic_tests_std,N_preventive_tests_0.025,N_preventive_tests_0.25,N_preventive_tests_0.75,N_preventive_tests_0.975,N_preventive_tests_mean,N_preventive_tests_median,N_preventive_tests_std,R0_0.025,R0_0.25,R0_0.75,R0_0.975,R0_mean,R0_median,R0_std,duration_0.025,duration_0.25,duration_0.75,duration_0.975,duration_mean,duration_median,duration_std,family_member_family_member_transmissions_0.025,family_member_family_member_transmissions_0.25,family_member_family_member_transmissions_0.75,family_member_family_member_transmissions_0.975,family_member_family_member_transmissions_mean,family_member_family_member_transmissions_median,family_member_family_member_transmissions_std,index_case,infected_family_members_0.025,infected_family_members_0.25,infected_family_members_0.75,infected_family_members_0.975,infected_family_members_mean,infected_family_members_median,infected_family_members_std,infected_students_0.025,infected_students_0.25,infected_students_0.75,infected_students_0.975,infected_students_mean,infected_students_median,infected_students_std,infected_teachers_0.025,infected_teachers_0.25,infected_teachers_0.75,infected_teachers_0.975,infected_teachers_mean,infected_teachers_median,infected_teachers_std,infected_without_transmissions_0.025,infected_without_transmissions_0.25,infected_without_transmissions_0.75,infected_without_transmissions_0.975,infected_without_transmissions_mean,infected_without_transmissions_median,infected_without_transmissions_std,pending_test_infections_0.025,pending_test_infections_0.25,pending_test_infections_0.75,pending_test_infections_0.975,pending_test_infections_mean,pending_test_infections_median,pending_test_infections_std,predetected_infections_0.025,predetected_infections_0.25,predetected_infections_0.75,predetected_infections_0.975,predetected_infections_mean,predetected_infections_median,predetected_infections_std,quarantine_days_family_member_0.025,quarantine_days_family_member_0.25,quarantine_days_family_member_0.75,quarantine_days_family_member_0.975,quarantine_days_family_member_mean,quarantine_days_family_member_median,quarantine_days_family_member_std,quarantine_days_student_0.025,quarantine_days_student_0.25,quarantine_days_student_0.75,quarantine_days_student_0.975,quarantine_days_student_mean,quarantine_days_student_median,quarantine_days_student_std,quarantine_days_teacher_0.025,quarantine_days_teacher_0.25,quarantine_days_teacher_0.75,quarantine_days_teacher_0.975,quarantine_days_teacher_mean,quarantine_days_teacher_median,quarantine_days_teacher_std,student_family_member_transmissions_0.025,student_family_member_transmissions_0.25,student_family_member_transmissions_0.75,student_family_member_transmissions_0.975,student_family_member_transmissions_mean,student_family_member_transmissions_median,student_family_member_transmissions_std,student_screen_interval,student_student_transmissions_0.025,student_student_transmissions_0.25,student_student_transmissions_0.75,student_student_transmissions_0.975,student_student_transmissions_mean,student_student_transmissions_median,student_student_transmissions_std,student_teacher_transmissions_0.025,student_teacher_transmissions_0.25,student_teacher_transmissions_0.75,student_teacher_transmissions_0.975,student_teacher_transmissions_mean,student_teacher_transmissions_median,student_teacher_transmissions_std,teacher_screen_interval,teacher_student_transmissions_0.025,teacher_student_transmissions_0.25,teacher_student_transmissions_0.75,teacher_student_transmissions_0.975,teacher_student_transmissions_mean,teacher_student_transmissions_median,teacher_student_transmissions_std,teacher_teacher_transmissions_0.025,teacher_teacher_transmissions_0.25,teacher_teacher_transmissions_0.75,teacher_teacher_transmissions_0.975,teacher_teacher_transmissions_mean,teacher_teacher_transmissions_median,teacher_teacher_transmissions_std,test_type,transmissions_0.025,transmissions_0.25,transmissions_0.75,transmissions_0.975,transmissions_mean,transmissions_median,transmissions_std,undetected_infections_0.025,undetected_infections_0.25,undetected_infections_0.75,undetected_infections_0.975,undetected_infections_mean,undetected_infections_median,undetected_infections_std
802.0,802.0,4797.0,21129.575,4636.46,1203.5,6486.305033542846,439.0,658.25,1094.0,1689.6999999999998,937.72,858.0,433.30858307130876,1.0,1.0,2.0,3.0,1.4642857142857142,1.0,0.6929348671835832,12.0,12.0,32.5,87.775,27.98,17.0,24.637361706090505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,student,0.0,0.0,1.0,15.774999999999999,2.4,0.0,4.8064582403602065,1.0,1.0,6.5,65.0,10.92,1.0,19.77510287906364,0.0,0.0,1.75,14.0,2.08,0.0,4.217746762799071,1.0,1.0,4.0,53.64999999999999,8.36,1.0,14.990827127252974,0.0,0.0,0.75,23.099999999999994,2.66,0.0,6.428920625436533,0.0,0.0,2.75,33.55,5.48,0.0,10.317886193896697,3.225,10.0,211.5,2743.5249999999996,409.12,28.5,816.6430449450621,3.0,6.0,78.5,906.775,140.82,11.0,274.9137668136564,0.0,0.0,19.25,196.0,28.28,0.0,58.623335884305334,0.0,0.0,1.0,15.774999999999999,2.4,0.0,4.8064582403602065,3.0,0.0,0.0,3.75,27.64999999999999,3.96,0.0,7.551077771431313,0.0,0.0,1.0,8.324999999999996,1.2,0.0,2.3386722205349857,3.0,0.0,0.0,2.0,42.55,5.96,0.0,12.59244995695307,0.0,0.0,0.0,7.549999999999997,0.88,0.0,2.246448444154661,same_day_antigen,0.0,0.0,7.5,96.19999999999999,14.4,1.0,28.599272147153304,0.0,0.0,1.0,14.324999999999996,1.94,0.0,3.872509074309865
802.0,802.0,3787.5,25558.899999999998,4804.3,1603.0,7354.872743387787,420.0,619.0,1036.75,1700.725,881.04,827.0,359.38285877831385,1.0,1.0,1.0,3.5,1.4193548387096775,1.0,0.9228287507581276,12.0,12.0,28.75,100.55000000000001,28.72,17.5,26.806213108615133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,student,0.0,0.0,1.0,16.775,2.6,0.0,5.3718844791323335,1.0,1.0,7.75,86.52499999999999,13.8,1.0,26.83205515187887,0.0,0.0,1.0,16.0,2.5,0.0,5.4182232195751086,1.0,1.0,5.0,64.875,10.7,1.0,20.767173861748297,0.0,0.0,0.0,33.55,4.94,0.0,11.479191466941122,0.0,0.0,3.25,42.55,6.8,0.0,14.27142142141963,4.45,12.5,219.75,3412.9249999999997,516.42,27.0,1079.6907548564307,4.0,6.0,78.75,1188.725,181.02,10.0,372.96580190113286,0.0,0.0,11.0,221.0,34.6,0.0,75.53347683278574,0.0,0.0,1.0,16.775,2.6,0.0,5.3718844791323335,3.0,0.0,0.0,3.0,27.775,4.44,0.0,8.633489610646604,0.0,0.0,1.0,6.774999999999999,1.1,0.0,2.3233508524700848,7.0,0.0,0.0,1.0,53.775,8.36,0.0,18.539268858180957,0.0,0.0,0.0,10.549999999999997,1.4,0.0,3.3319725113401715,same_day_antigen,0.0,0.0,9.0,116.97499999999998,17.9,1.0,37.23792777943104,0.0,0.0,1.0,8.324999999999996,1.34,0.0,2.544381565532263
802.0,802.25,6182.25,24709.374999999996,6063.46,1604.0,8022.9667605708355,419.225,617.0,1134.5,1661.0249999999999,882.74,799.0,372.94628436332243,1.0,1.0,2.0,3.224999999999998,1.53125,1.0,0.7613390156652905,12.0,12.0,41.75,99.0,32.58,17.5,28.83527459942925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,student,0.0,0.0,2.75,18.0,3.42,0.0,6.118189674892335,1.0,1.0,7.75,100.49999999999997,19.06,2.0,32.58233526665287,0.0,0.0,1.75,18.0,3.5,0.0,6.331811489194374,1.0,1.0,4.0,69.32499999999999,14.18,1.0,24.11087484340387,0.0,0.0,2.75,44.099999999999994,6.76,0.0,13.961404525567284,0.0,0.0,3.75,46.55,8.92,1.0,15.728357336028322,6.675000000000001,15.0,272.5,3937.849999999999,735.44,43.5,1329.173153444176,4.225,6.0,91.25,1400.1749999999995,254.3,17.0,455.3962280144577,0.0,0.0,24.5,252.0,48.14,0.0,88.17006063192163,0.0,0.0,2.75,18.0,3.42,0.0,6.118189674892335,3.0,0.0,0.0,5.75,39.42499999999999,6.86,1.0,11.883808226287721,0.0,0.0,1.0,10.0,1.92,0.0,3.4690468019739535,14.0,0.0,0.0,3.5,62.324999999999996,11.2,0.0,21.059681955851865,0.0,0.0,0.75,8.774999999999999,1.58,0.0,3.0377892068585215,same_day_antigen,0.0,0.0,10.5,130.075,24.98,1.0,44.778133329671036,0.0,0.0,2.75,9.774999999999999,2.08,0.0,3.457260918881375
802.0,803.0,16845.5,23572.1,7095.32,1604.0,8674.892862809573,399.0,598.25,1145.5,1489.6999999999998,841.36,797.0,364.0146756404646,1.0,1.0,2.0,3.5,1.6451612903225807,1.0,0.9146360695844802,12.0,12.0,63.25,91.875,34.96,17.5,28.597816385885416,0.0,0.0,0.0,0.0,0.02,0.0,0.14142135623730948,student,0.0,0.0,9.5,18.0,4.36,0.0,6.629433441486689,1.0,1.0,44.0,93.64999999999998,22.52,2.0,32.88647138262176,0.0,0.0,11.75,18.0,4.44,0.0,6.908025501294174,1.0,1.0,37.5,71.875,17.22,1.0,24.87625701879819,0.0,0.0,14.0,48.324999999999996,8.84,0.0,15.230688676189937,0.0,0.0,25.75,52.19999999999999,11.48,0.0,17.590860335610046,3.45,9.25,1769.75,3724.9499999999994,871.5,44.0,1320.2479088475493,4.225,5.0,588.25,1296.1749999999997,302.04,16.5,454.385926053964,0.0,0.0,157.75,252.0,61.4,0.0,96.056106053723,0.0,0.0,9.5,18.0,4.34,0.0,6.6012058267673295,3.0,0.0,0.0,13.0,29.775,7.7,1.0,11.618510916566175,0.0,0.0,4.75,11.099999999999994,2.12,0.0,3.3844783759910504,,0.0,0.0,30.25,61.324999999999996,13.82,0.0,21.67448419930962,0.0,0.0,4.75,12.549999999999997,2.32,0.0,3.9509234260318618,same_day_antigen,0.0,0.0,63.5,135.39999999999998,30.32,1.5,45.954476142711286,0.0,0.0,2.0,13.549999999999997,1.98,0.0,3.678342572631409
802.0,803.0,11862.25,20882.975,6051.86,1604.5,7289.364861360749,239.225,260.0,496.25,945.9999999999999,415.94,389.0,202.04216674461082,1.0,1.0,3.0,4.0,1.911764705882353,1.5,1.0550785424970928,12.0,12.0,57.25,91.775,34.12,19.0,28.087792395143,0.0,0.0,0.0,1.0,0.12,0.0,0.4797958749641904,student,0.0,0.0,3.75,20.0,3.94,0.5,6.525960715887441,1.0,1.0,33.0,74.875,17.4,2.0,25.96622610159558,0.0,0.0,5.75,17.0,3.5,0.0,5.807279035479384,1.0,1.0,22.0,58.55,13.58,1.0,20.555638781470297,0.0,0.0,6.0,30.549999999999997,5.78,0.0,10.20462080208205,0.0,0.0,16.75,40.55,9.24,1.0,14.510460688336366,3.45,9.75,1155.5,2973.7499999999995,642.44,48.0,1023.755574303929,5.0,5.0,443.5,1023.6749999999998,227.5,17.5,358.54469166111966,0.0,0.0,80.5,238.0,48.46,0.0,80.85921501635558,0.0,0.0,3.75,19.775,3.82,0.5,6.381382359358082,7.0,0.0,0.0,11.5,27.0,6.34,1.0,9.175410795452493,0.0,0.0,3.0,9.0,1.8,0.0,2.9416086117105715,3,0.0,0.0,17.0,48.775,10.06,0.0,17.140964181201255,0.0,0.0,2.75,10.549999999999997,1.7,0.0,3.1249489791753366,same_day_antigen,0.0,0.0,43.25,106.42499999999998,23.84,2.0,38.001804468434685,0.0,0.0,1.75,3.7749999999999986,0.9,0.0,1.2975644374703534
802.0,803.0,14150.75,24758.475,7400.52,2003.0,8559.923727106308,204.27499999999998,220.0,439.0,659.55,356.22,345.0,150.82254608699347,1.0,1.0,3.0,5.0,2.138888888888889,2.0,1.3342258917285073,12.0,12.0,62.0,107.07499999999999,39.1,23.5,31.46118437772138,0.0,0.0,0.0,1.0,0.12,0.0,0.3854496446637727,student,0.0,0.0,13.75,25.0,6.4,1.0,8.590455073355947,1.0,1.0,59.5,103.29999999999998,27.2,2.5,36.55970794328039,0.0,0.0,12.0,19.0,5.24,0.0,7.28588235100273,1.0,1.0,47.75,79.875,21.7,2.0,28.82689362242084,0.0,0.0,20.75,51.749999999999986,11.2,0.0,16.90912083305749,0.0,0.0,36.75,58.775,15.64,1.0,21.361571447201104,2.225,15.0,2448.5,4190.775,1082.5,67.5,1501.6874080275734,2.225,6.0,802.5,1403.225,364.68,24.5,503.95948330825814,0.0,0.0,167.0,266.0,72.5,0.0,101.3420657265002,0.0,0.0,13.5,24.0,6.28,1.0,8.468525158925074,7.0,0.0,0.0,19.75,37.324999999999996,9.72,1.5,13.360068434384182,0.0,0.0,5.0,10.774999999999999,2.38,0.0,3.4159888161170455,7,0.0,0.0,35.25,63.55,16.48,0.0,23.774656374263028,0.0,0.0,5.0,12.0,2.86,0.0,4.4447171118173125,same_day_antigen,0.0,0.0,88.25,142.62499999999997,37.84,2.0,51.951845835487745,0.0,0.0,1.0,1.0,0.4,0.0,0.5345224838248488
802.0,803.0,14923.5,27050.874999999996,8117.64,2403.0,9533.350987529442,200.0,200.0,414.25,610.175,321.64,220.0,135.70838483412038,1.0,1.0,3.0,4.0,1.878787878787879,2.0,1.0234004518508308,12.0,12.0,60.75,118.19999999999999,40.9,20.0,35.94738218165943,0.0,0.0,0.0,1.0,0.08,0.0,0.3404678653660853,student,0.0,0.0,13.75,27.324999999999996,6.16,1.0,8.878683483949816,1.0,1.0,63.25,99.875,27.12,2.5,36.70102039397793,0.0,0.0,13.75,18.0,5.18,0.0,7.427719731395582,1.0,1.0,50.0,76.1,20.58,1.5,28.126601541702726,0.0,0.0,21.0,43.775,9.82,0.0,14.953929249531711,0.0,0.0,35.0,53.775,14.56,1.0,20.359182855178943,4.45,12.75,2543.0,3934.15,1063.22,67.0,1489.0278473568187,3.45,5.25,870.75,1380.1249999999998,363.18,23.0,506.1168974432201,0.0,0.0,188.75,252.0,71.18,0.0,102.02354470155106,0.0,0.0,13.75,25.775,6.08,1.0,8.736131867136622,7.0,0.0,0.0,21.25,43.55,10.78,1.5,14.708445442905878,0.0,0.0,5.75,10.774999999999999,2.6,0.0,3.907084094622098,14,0.0,0.0,39.25,55.775,15.34,0.0,22.433220628235752,0.0,0.0,6.75,10.0,2.58,0.0,3.823077081010392,same_day_antigen,0.0,0.0,90.0,143.29999999999998,37.46,2.5,52.69829800140511,0.0,0.0,0.0,2.7749999999999986,0.38,0.0,0.7795864942652717
802.0,803.0,16967.75,29061.924999999996,7927.74,1604.0,9394.722456414624,199.0,200.0,400.0,613.95,327.86,200.0,152.17940674327355,1.0,1.0,2.75,5.274999999999999,2.0,2.0,1.2865350418053538,12.0,12.0,72.5,115.65,40.86,18.0,35.69257054117474,0.0,0.0,0.0,1.0,0.14,0.0,0.49528388066742046,student,0.0,0.0,16.0,22.775,6.72,1.0,8.729588437361425,1.0,1.0,71.5,93.775,29.86,2.0,37.79429284202274,0.0,0.0,15.0,18.775,5.76,0.0,7.718411595077086,1.0,1.0,57.25,75.775,23.4,1.0,29.55106269023923,0.0,0.0,25.0,39.0,10.86,0.0,15.293068991660029,0.0,0.0,36.75,52.55,15.76,1.0,20.625484533578792,5.225,12.0,2824.5,3633.425,1155.58,33.0,1504.7931051768396,5.0,6.0,974.75,1275.425,401.36,16.0,519.5094137938294,0.0,0.0,209.75,262.175,79.1,0.0,105.86461319312801,0.0,0.0,15.0,22.0,6.58,1.0,8.557345573558784,7.0,0.0,0.0,23.0,38.0,10.92,1.0,14.515073094503366,0.0,0.0,6.0,12.549999999999997,2.98,0.0,4.152648527857657,,0.0,0.0,44.75,60.099999999999994,17.94,0.0,24.26672366742203,0.0,0.0,5.75,11.0,2.78,0.0,4.087262443948796,same_day_antigen,0.0,0.0,103.5,132.325,41.34,1.0,54.069347006546,0.0,0.0,1.0,2.7749999999999986,0.46,0.0,0.8381222939355787
802.225,803.0,15177.0,23164.174999999996,7147.3,1604.5,8048.685326163015,40.0,114.0,316.0,495.5,241.26,278.5,126.47187474707891,1.0,1.0,3.0,6.149999999999999,2.257142857142857,2.0,1.651075534361789,12.0,12.0,67.5,95.0,38.34,21.5,30.062255132865022,0.0,0.0,0.0,2.0,0.18,0.0,0.5955618167335952,student,0.0,0.0,10.0,19.775,5.46,1.0,7.206034885809963,1.0,1.0,41.0,84.55000000000001,20.62,2.0,28.155464906153348,0.0,0.0,9.0,17.324999999999996,4.1,0.0,6.021220975916457,1.0,1.0,28.25,67.32499999999999,16.62,1.5,22.51792030125956,0.0,0.0,12.0,40.19999999999999,7.8,0.0,12.493263490900254,0.0,0.0,20.75,48.87499999999999,11.22,1.0,16.540969544418722,3.0,9.0,1509.75,3346.0249999999996,796.24,39.0,1152.5954307296101,4.225,5.0,550.25,1159.725,273.56,16.0,389.12099581975156,0.0,0.0,125.75,242.54999999999995,56.86,0.0,83.75450277265024,0.0,0.0,10.0,19.0,5.28,1.0,6.928321055859148,14.0,0.0,0.0,15.5,30.775,8.06,1.0,11.15642031682718,0.0,0.0,4.75,8.774999999999999,2.34,0.0,3.372215404551417,3,0.0,0.0,23.75,58.775,11.56,0.0,17.784606964955934,0.0,0.0,4.0,9.549999999999997,1.76,0.0,2.896584899779852,same_day_antigen,0.0,0.0,58.5,116.875,29.18,2.0,40.89094006735277,0.0,0.0,1.0,2.7749999999999986,0.52,0.0,0.8388524717658972
180.45000000000007,803.0,15268.0,24680.725,8013.46,2403.5,8550.429804711932,20.0,220.0,240.0,451.8999999999999,205.54,235.0,112.78156782389722,1.0,1.0,3.0,4.074999999999996,1.9210526315789473,2.0,1.0750632651998098,12.0,17.0,65.75,101.775,42.42,23.5,31.894014536669825,0.0,0.0,0.0,1.0,0.18,0.0,0.4375255094603873,student,0.0,0.0,10.75,22.0,5.58,1.5,7.270544431232823,1.0,1.0,52.25,86.0,26.28,2.5,32.62779583766715,0.0,0.0,11.0,18.0,5.2,0.0,6.761234037828133,1.0,1.0,40.25,68.875,20.04,2.5,24.78640180190974,0.0,0.0,20.5,41.324999999999996,10.12,0.0,14.407537709724824,0.0,0.0,29.5,49.55,14.22,1.0,18.212229575822093,0.6750000000000003,9.75,2154.5,3555.2,1028.0,71.0,1320.1404532573536,0.9000000000000004,5.0,714.5,1192.975,349.24,24.5,449.4293688122978,0.0,0.0,154.0,252.0,71.8,0.0,93.94809682989424,0.0,0.0,10.75,21.775,5.4,1.0,7.205440121667709,14.0,0.0,0.0,20.5,39.0,10.28,1.0,13.204884686805741,0.0,0.0,6.0,10.0,2.84,0.0,3.672067759812319,7,0.0,0.0,32.25,50.775,15.0,0.0,19.85560117345188,0.0,0.0,4.5,10.0,2.36,0.0,3.601360287220282,same_day_antigen,0.0,1.0,74.0,122.54999999999998,36.06,3.0,46.200720022660306,0.0,0.0,0.0,1.7749999999999986,0.28,0.0,0.7010196655077312
