N_diagnostic_tests_0.025,N_diagnostic_tests_0.25,N_diagnostic_tests_0.75,N_diagnostic_tests_0.975,N_diagnostic_tests_mean,N_diagnostic_tests_median,N_diagnostic_tests_std,N_employee_screens_0.025,N_employee_screens_0.25,N_employee_screens_0.75,N_employee_screens_0.975,N_employee_screens_mean,N_employee_screens_median,N_employee_screens_std,N_preventive_tests_0.025,N_preventive_tests_0.25,N_preventive_tests_0.75,N_preventive_tests_0.975,N_preventive_tests_mean,N_preventive_tests_median,N_preventive_tests_std,N_resident_screens_0.025,N_resident_screens_0.25,N_resident_screens_0.75,N_resident_screens_0.975,N_resident_screens_mean,N_resident_screens_median,N_resident_screens_std,R0_0.025,R0_0.25,R0_0.75,R0_0.975,R0_mean,R0_median,R0_std,duration_0.025,duration_0.25,duration_0.75,duration_0.975,duration_mean,duration_median,duration_std,employee_screen_interval,index_case,infected_employees_0.025,infected_employees_0.25,infected_employees_0.75,infected_employees_0.975,infected_employees_mean,infected_employees_median,infected_employees_std,infected_residents_0.025,infected_residents_0.25,infected_residents_0.75,infected_residents_0.975,infected_residents_mean,infected_residents_median,infected_residents_std,pending_test_infections_0.025,pending_test_infections_0.25,pending_test_infections_0.75,pending_test_infections_0.975,pending_test_infections_mean,pending_test_infections_median,pending_test_infections_std,predetected_infections_0.025,predetected_infections_0.25,predetected_infections_0.75,predetected_infections_0.975,predetected_infections_mean,predetected_infections_median,predetected_infections_std,resident_screen_interval,test_type,transmissions_0.025,transmissions_0.25,transmissions_0.75,transmissions_0.975,transmissions_mean,transmissions_median,transmissions_std,undetected_infections_0.025,undetected_infections_0.25,undetected_infections_0.75,undetected_infections_0.975,undetected_infections_mean,undetected_infections_median,undetected_infections_std
52.0,53.0,342.0,642.0249999999996,224.4243,155.0,180.3822620036531,4.0,5.0,15.0,30.0,11.4283,9.0,7.441948492816714,159.0,210.0,389.0,612.0249999999996,310.814,270.0,126.93561072026594,4.0,5.0,15.0,30.0,11.2327,9.0,7.488401586842987,1.0,1.0,2.0,4.0,1.734534179831685,1.0,0.9267862381091228,12.0,12.0,34.0,64.0,25.668000000000003,22.0,15.006815000180582,2.0,employee,1.0,1.0,5.0,12.0,3.4991,2.0,3.2576157532833125,0.0,0.0,6.0,18.0,3.9738,2.0,5.229880373858707,0.0,0.0,0.0,8.0,0.8443,0.0,2.070576305916752,0.0,0.0,2.0,9.0,1.506,0.0,2.510018728894655,2.0,same_day_antigen,0.0,0.0,10.0,29.0,6.4729,3.0,8.265210037240191,0.0,0.0,4.0,12.0,2.6136,1.0,3.2171928871311555
52.0,53.0,402.0,689.0,245.7934,155.0,202.1075220309381,3.0,4.0,14.0,25.0,9.7403,7.0,6.671724447300718,141.0,176.0,350.0,527.0,279.4379,259.0,108.6277089029505,4.0,5.0,17.0,32.0,12.1339,9.0,8.398537035248058,1.0,1.0,2.0,4.0,1.8344778254649496,2.0,1.0306152593755675,12.0,12.0,37.0,66.02499999999964,27.2193,22.0,16.44332222498177,3.0,employee,1.0,1.0,6.0,14.0,3.8782,2.0,3.799632677094996,0.0,0.0,7.0,21.0,4.6963,2.0,6.200428278843657,0.0,0.0,1.0,9.0,1.1343,0.0,2.44353444748782,0.0,0.0,2.0,8.0,1.1826,0.0,2.1441821265226446,2.0,same_day_antigen,0.0,0.0,12.0,33.0,7.5745,3.0,9.792723803618145,0.0,0.0,3.0,10.0,2.08,1.0,2.8469300133740734
52.0,53.0,401.0,668.0249999999996,260.6357,244.0,191.0030355818204,2.0,3.0,10.0,19.0,7.2352,6.0,5.0160938069087155,123.0,158.0,307.0,464.0,249.0641,240.0,93.85159350458751,4.0,6.0,18.0,32.0,12.8263,11.0,7.967928030404754,1.0,1.0,3.0,5.0,2.014105123087159,2.0,1.1600955910055557,12.0,17.0,38.0,67.0,28.6712,25.0,15.910581548784508,7.0,employee,1.0,1.0,6.0,13.0,4.2299,3.0,3.680244612799672,0.0,0.0,9.0,20.0,5.3516,3.0,5.983657565050456,0.0,0.0,2.0,8.0,1.235,0.0,2.3287158031260864,0.0,0.0,4.0,10.0,2.1859,1.0,2.9268067598973766,2.0,same_day_antigen,0.0,1.0,14.0,32.0,8.5815,5.0,9.421647122103932,0.0,0.0,3.0,8.0,1.796,1.0,2.2355947281157285
0.0,104.0,412.0,669.0,276.1692,252.0,186.36176496831158,0.0,2.0,9.0,17.0,6.2284,5.0,4.745385685961769,105.0,174.0,302.0,463.0,246.4396,237.0,94.00973851114306,4.0,7.0,19.0,32.0,13.9363,13.0,7.95211707198735,1.0,1.0,3.0,5.0,2.1580059671805074,2.0,1.2337303454063104,12.0,18.0,40.0,68.0,30.8527,28.0,15.941731919451511,,employee,1.0,1.0,7.0,13.0,4.7955,4.0,3.7440194334634285,0.0,1.0,10.0,21.0,6.2063,5.0,6.0779465655306115,0.0,0.0,2.0,8.0,1.3643,0.0,2.4163131765018977,0.0,0.0,5.0,10.0,2.6047,1.0,3.177585186074715,2.0,same_day_antigen,0.0,1.0,16.0,32.0,10.0018,8.0,9.54275134174191,0.0,0.0,2.0,8.0,1.6949,1.0,2.1220424822396096
52.0,53.0,387.0,661.0,232.9392,153.0,195.46285497794102,4.0,5.0,17.0,31.0,11.8597,9.0,8.09521890790587,123.0,176.0,302.0,472.0,244.5655,227.0,96.8918051846553,3.0,4.0,14.0,26.0,9.6071,7.0,6.945714785778965,1.0,1.0,2.0,4.0,1.7400207745956373,1.0,0.9568081334615478,12.0,12.0,37.0,67.0,26.7159,22.0,16.381471925692306,2.0,employee,1.0,1.0,6.0,14.0,3.8427,2.0,3.918021413823553,0.0,0.0,7.0,21.0,4.6225,1.0,6.331224383183637,0.0,0.0,0.0,8.0,0.9122,0.0,2.177283908111584,0.0,0.0,1.0,7.0,1.002,0.0,2.036715694710999,3.0,same_day_antigen,0.0,0.0,12.0,34.0,7.4652,2.0,10.051681082747251,0.0,0.0,2.0,8.0,1.8129,1.0,2.3738275202106767
52.0,53.0,257.25,428.0,174.0325,153.0,116.4514574316002,3.0,4.0,14.0,22.0,9.2201,8.0,5.756332993056665,105.0,158.0,350.0,517.0249999999996,257.3454,226.0,122.65822191268008,3.0,4.0,13.0,22.0,9.0383,8.0,5.772899249646978,1.0,1.0,2.0,4.0,1.8264651361756736,2.0,1.0086482902694387,12.0,12.0,35.0,58.0,25.7311,22.0,14.121031589204605,3.0,employee,1.0,1.0,5.0,12.0,3.3856,2.0,3.2194330424643853,0.0,0.0,6.0,18.0,3.8681,2.0,5.198269384175762,0.0,0.0,0.0,1.0,0.0737,0.0,0.4887659963826474,0.0,0.0,0.0,3.0,0.2676,0.0,0.9350281641569824,3.0,same_day_antigen,0.0,0.0,10.0,29.0,6.2537,3.0,8.204051862140785,0.0,0.0,1.0,1.0,0.2934,0.0,0.6142916045474998
52.0,53.0,356.0,598.0,237.9418,238.0,168.060241691019,2.0,3.0,9.0,17.0,6.6291,6.0,4.310799402564322,88.0,123.0,238.0,380.0,190.0081,180.0,81.65402238914645,3.0,4.0,14.0,26.0,10.2782,9.0,6.593386992677096,1.0,1.0,3.0,5.0,2.0005366246310707,2.0,1.1618053804533608,12.0,12.0,35.0,63.0,27.4423,25.0,14.61114708953158,7.0,employee,1.0,1.0,6.0,12.0,3.9817,3.0,3.2570271617831588,0.0,0.0,8.0,18.0,4.897,3.0,5.259102282298907,0.0,0.0,0.0,4.0,0.5293,0.0,1.2931004295382813,0.0,0.0,5.0,10.0,2.4863,1.0,3.1136123342794004,3.0,same_day_antigen,0.0,0.0,13.0,27.0,7.8787,5.0,8.23556730085285,0.0,0.0,1.0,4.0,0.5896,0.0,1.1428483933772775
0.0,104.0,363.0,591.0249999999996,254.9753,251.0,161.03156462753086,0.0,2.0,8.0,15.0,5.6324,5.0,3.9698168956034308,70.0,133.0,222.0,350.0,176.4028,169.0,76.73756197262037,3.0,6.0,15.0,26.0,11.0668,10.0,6.441668050181326,1.0,1.0,3.0,5.0,2.186092551348676,2.0,1.2669890802159312,12.0,18.0,36.0,65.0,29.4686,28.0,14.422122375066028,,employee,1.0,1.0,7.0,12.0,4.5456,4.0,3.302273632077468,0.0,1.0,9.0,18.0,5.8097,5.0,5.277051320298458,0.0,0.0,1.0,4.0,0.5995,0.0,1.2954024690248491,0.0,0.0,6.0,11.0,3.1942,3.0,3.3714719400143656,3.0,same_day_antigen,0.0,1.0,15.0,28.0,9.3553,8.0,8.25587535381838,0.0,0.0,0.0,3.0,0.3784,0.0,0.8699937522263544
52.0,53.0,382.0,652.0,245.2626,205.0,187.54790231513195,4.0,5.0,16.0,31.0,12.0239,11.0,7.5996779076767496,88.0,106.0,173.0,264.0,144.5184,132.0,48.73595162442274,2.0,2.0,10.0,19.0,6.7212,6.0,5.026290572548703,1.0,1.0,2.0,4.0,1.7340707964601767,1.0,0.956922098986226,12.0,12.0,35.0,65.0,26.6442,24.0,15.364609122309234,2.0,employee,1.0,1.0,7.0,14.0,4.2663,3.0,3.869041387491973,0.0,0.0,8.0,21.0,5.0377,3.0,6.1208843505267465,0.0,0.0,1.0,7.0,1.0632,0.0,2.094909216281805,0.0,0.0,5.0,12.0,2.8806,1.0,3.5909376384605083,7.0,same_day_antigen,0.0,0.0,14.0,33.0,8.304,5.0,9.766684330533122,0.0,0.0,2.0,6.0,1.3624,1.0,1.6232466642421592
52.0,53.0,363.25,604.0,237.3363,239.0,172.95891443032966,3.0,4.0,14.0,26.0,10.0399,9.0,6.525915012216653,70.0,88.0,143.0,233.0,119.88,106.0,44.771125129535626,2.0,2.0,9.0,17.0,6.4615,6.0,4.562981462813869,1.0,1.0,2.0,4.0,1.841002991879185,2.0,1.0355988584262898,12.0,12.0,34.0,61.0,25.8965,24.0,14.144270705461592,3.0,employee,1.0,1.0,6.0,12.0,4.0696,3.0,3.4615248165231365,0.0,0.0,8.0,18.0,4.7411,3.0,5.392529900507998,0.0,0.0,1.0,5.0,0.7165,0.0,1.5049764933129497,0.0,0.0,6.0,12.0,3.2759,2.0,3.7853945780078364,7.0,same_day_antigen,0.0,0.0,13.0,28.0,7.8107,5.0,8.59886385262353,0.0,0.0,1.0,4.0,0.7119,0.0,1.2282708394020811
